co,codmes
I2140001,201908
I2141001,201908
I2144001,201908
I2145001,201908
I2149001,201908
I2153001,201908
I2155001,201908
I2159001,201908
I2175001,201908
I2184001,201908
I2201001,201908
I2206001,201908
I2211001,201908
I2214001,201908
I2219001,201908
I2220001,201908
I2227001,201908
I2228001,201908
I2230001,201908
I2231001,201908
I2232001,201908
I2233001,201908
I2238001,201908
I2239001,201908
I2240001,201908
I2241001,201908
I2243001,201908
I2244001,201908
I2246001,201908
I2248001,201908
I2249001,201908
I2253001,201908
I2254001,201908
I2264001,201908
I2265001,201908
I2281001,201908
I2285001,201908
I2287001,201908
I2288001,201908
I2290001,201908
I2295001,201908
I2303001,201908
I2305001,201908
I2306001,201908
I2307001,201908
I2312001,201908
I2345001,201908
I2358001,201908
I2365001,201908
I2367001,201908
I2371001,201908
I2401001,201908
I2403001,201908
I2405001,201908
I2410001,201908
I2416001,201908
I2439001,201908
I2495001,201908
I2499001,201908
I2500001,201908
I2501001,201908
I2524001,201908
I2533001,201908
I2534001,201908
I2591001,201908
I2594001,201908
I2606001,201908
I2607001,201908
I2616001,201908
I2621001,201908
I2623001,201908
I2624001,201908
I2627001,201908
I2629001,201908
I2635001,201908
I2638001,201908
I2649001,201908
I2652001,201908
I2653001,201908
I2654001,201908
I2672001,201908
I2674001,201908
I2678001,201908
I2704001,201908
I2711001,201908
I2718001,201908
I2732001,201908
I2738001,201908
I2752001,201908
I2755001,201908
I2756001,201908
I2759001,201908
I2799001,201908
I2803001,201908
Y8559002,201908
Z5028003,201908
